app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,5,1744386206,1744386211,1744386211.275595,-18000,,
com.apple.Terminal,1,1744386205,1744386206,1744386206.2068372,-18000,,
com.apple.finder,17,1744386188,1744386205,1744386205.3968139,-18000,,
com.leomehlig.today,17,1744386171,1744386188,1744386188.173245,-18000,,
com.google.Chrome,12,1744386159,1744386171,1744386171.876535,-18000,,
com.microsoft.VSCode,19,1744386140,1744386159,1744386159.872579,-18000,,
com.apple.news,129,1744386011,1744386140,1744386140.849148,-18000,,
com.microsoft.VSCode,179,1744385832,1744386011,1744386011.9529881,-18000,,
com.google.Chrome,3,1744385829,1744385832,1744385832.960496,-18000,,
com.microsoft.VSCode,23,1744385806,1744385829,1744385830.004508,-18000,,
com.google.Chrome,44,1744385762,1744385806,1744385806.9870548,-18000,,
com.microsoft.VSCode,0,1744385762,1744385762,1744385762.951651,-18000,,
com.google.Chrome,16,1744385746,1744385762,1744385762.1954079,-18000,,
com.microsoft.VSCode,410,1744385336,1744385746,1744385746.764647,-18000,,
com.google.Chrome,9,1744385327,1744385336,1744385336.257183,-18000,,
com.microsoft.VSCode,1,1744385326,1744385327,1744385327.946626,-18000,,
com.google.Chrome,1,1744385325,1744385326,1744385326.238411,-18000,,
com.microsoft.VSCode,2,1744385323,1744385325,1744385325.12457,-18000,,
com.google.Chrome,1,1744385322,1744385323,1744385323.720206,-18000,,
com.microsoft.VSCode,26,1744385296,1744385322,1744385322.433469,-18000,,
com.google.Chrome,1,1744385295,1744385296,1744385296.241672,-18000,,
com.microsoft.VSCode,2,1744385293,1744385295,1744385295.246787,-18000,,
com.google.Chrome,3,1744385290,1744385293,1744385293.191409,-18000,,
com.microsoft.VSCode,6,1744385284,1744385290,1744385291.001943,-18000,,
com.google.Chrome,1,1744385283,1744385284,1744385284.358278,-18000,,
com.microsoft.VSCode,2,1744385281,1744385283,1744385283.657603,-18000,,
com.google.Chrome,0,1744385281,1744385281,1744385281.841804,-18000,,
com.microsoft.VSCode,3,1744385278,1744385281,1744385281.101695,-18000,,
com.google.Chrome,1,1744385277,1744385278,1744385278.902951,-18000,,
com.microsoft.VSCode,2,1744385275,1744385277,1744385277.961351,-18000,,
com.google.Chrome,2,1744385273,1744385275,1744385275.277162,-18000,,
com.microsoft.VSCode,58,1744385215,1744385273,1744385273.636826,-18000,,
com.google.Chrome,3,1744385212,1744385215,1744385215.410228,-18000,,
com.microsoft.VSCode,7,1744385205,1744385212,1744385212.685272,-18000,,
com.google.Chrome,2,1744385203,1744385205,1744385206.00368,-18000,,
com.microsoft.VSCode,30,1744385173,1744385203,1744385203.181416,-18000,,
com.google.Chrome,2,1744385171,1744385173,1744385173.123931,-18000,,
com.microsoft.VSCode,1,1744385170,1744385171,1744385172.022725,-18000,,
com.google.Chrome,1,1744385169,1744385170,1744385170.292939,-18000,,
com.microsoft.VSCode,3,1744385166,1744385169,1744385169.274684,-18000,,
com.google.Chrome,2,1744385164,1744385166,1744385166.792083,-18000,,
com.microsoft.VSCode,1,1744385163,1744385164,1744385165.055654,-18000,,
com.google.Chrome,1,1744385162,1744385163,1744385163.518303,-18000,,
com.microsoft.VSCode,2,1744385160,1744385162,1744385162.481468,-18000,,
com.google.Chrome,1,1744385159,1744385160,1744385160.868085,-18000,,
com.microsoft.VSCode,1,1744385158,1744385159,1744385159.666206,-18000,,
com.google.Chrome,2,1744385156,1744385158,1744385158.316355,-18000,,
com.microsoft.VSCode,1,1744385155,1744385156,1744385156.897325,-18000,,
com.google.Chrome,1,1744385154,1744385155,1744385155.393259,-18000,,
com.microsoft.VSCode,2,1744385152,1744385154,1744385154.238395,-18000,,
com.google.Chrome,1,1744385151,1744385152,1744385152.8897018,-18000,,
com.microsoft.VSCode,2,1744385149,1744385151,1744385151.638999,-18000,,
com.google.Chrome,1,1744385148,1744385149,1744385149.847622,-18000,,
com.microsoft.VSCode,1,1744385147,1744385148,1744385148.769196,-18000,,
com.google.Chrome,2,1744385145,1744385147,1744385147.245789,-18000,,
com.microsoft.VSCode,2,1744385143,1744385145,1744385145.913008,-18000,,
com.google.Chrome,1,1744385142,1744385143,1744385143.974965,-18000,,
com.microsoft.VSCode,1,1744385141,1744385142,1744385142.832567,-18000,,
com.google.Chrome,1,1744385140,1744385141,1744385141.393635,-18000,,
com.microsoft.VSCode,27,1744385113,1744385140,1744385140.140116,-18000,,
com.google.Chrome,1,1744385112,1744385113,1744385113.514936,-18000,,
com.microsoft.VSCode,26,1744385086,1744385112,1744385112.3308659,-18000,,
com.google.Chrome,13,1744385073,1744385086,1744385086.7565222,-18000,,
com.microsoft.VSCode,1,1744385072,1744385073,1744385073.9870691,-18000,,
com.google.Chrome,3,1744385069,1744385072,1744385072.724358,-18000,,
com.microsoft.VSCode,18,1744385051,1744385069,1744385069.798286,-18000,,
com.google.Chrome,3,1744385048,1744385051,1744385051.856916,-18000,,
com.microsoft.VSCode,14,1744385034,1744385048,1744385048.418762,-18000,,
com.google.Chrome,7,1744385027,1744385034,1744385034.428146,-18000,,
com.microsoft.VSCode,75,1744384952,1744385027,1744385027.658011,-18000,,
com.google.Chrome,2,1744384950,1744384952,1744384952.463214,-18000,,
com.microsoft.VSCode,3,1744384947,1744384950,1744384950.937778,-18000,,
com.google.Chrome,2,1744384945,1744384947,1744384947.965513,-18000,,
com.microsoft.VSCode,22,1744384923,1744384945,1744384945.06763,-18000,,
com.google.Chrome,11,1744384912,1744384923,1744384923.250778,-18000,,
com.microsoft.VSCode,3,1744384909,1744384912,1744384912.9370332,-18000,,
com.google.Chrome,1,1744384908,1744384909,1744384909.470512,-18000,,
com.microsoft.VSCode,13,1744384895,1744384908,1744384908.463577,-18000,,
com.google.Chrome,4,1744384891,1744384895,1744384895.106241,-18000,,
com.microsoft.VSCode,3,1744384888,1744384891,1744384891.96067,-18000,,
com.google.Chrome,2,1744384886,1744384888,1744384888.283636,-18000,,
com.microsoft.VSCode,4,1744384882,1744384886,1744384886.651126,-18000,,
com.google.Chrome,3,1744384879,1744384882,1744384882.671551,-18000,,
com.microsoft.VSCode,6,1744384873,1744384879,1744384880.012601,-18000,,
com.google.Chrome,7,1744384866,1744384873,1744384873.788163,-18000,,
com.microsoft.VSCode,17,1744384849,1744384866,1744384866.115665,-18000,,
com.google.Chrome,31,1744384818,1744384849,1744384849.512541,-18000,,
com.microsoft.VSCode,11,1744384807,1744384818,1744384818.69269,-18000,,
com.google.Chrome,12,1744384795,1744384807,1744384807.5807629,-18000,,
com.microsoft.VSCode,60,1744384735,1744384795,1744384795.599823,-18000,,
com.google.Chrome,11,1744384724,1744384735,1744384735.186851,-18000,,
com.microsoft.VSCode,54,1744384670,1744384724,1744384724.812307,-18000,,
com.google.Chrome,107,1744384563,1744384670,1744384671.009646,-18000,,
com.google.Chrome,131,1744384429,1744384560,1744384560.47472,-18000,,
com.microsoft.VSCode,570,1744383844,1744384414,1744384414.622271,-18000,,
com.microsoft.VSCode,369,1744383473,1744383842,1744383842.6599422,-18000,,
com.google.Chrome,2,1744383471,1744383473,1744383473.919036,-18000,,
com.microsoft.VSCode,3,1744383468,1744383471,1744383471.074552,-18000,,
com.google.Chrome,15,1744383453,1744383468,1744383468.980915,-18000,,
com.microsoft.VSCode,33,1744383420,1744383453,1744383453.4680119,-18000,,
com.leomehlig.today,219,1744383201,1744383420,1744383420.380079,-18000,,
com.microsoft.VSCode,84,1744383117,1744383201,1744383201.748085,-18000,,
com.microsoft.VSCode,300,1744382809,1744383109,1744383109.4717588,-18000,,
com.microsoft.VSCode,529,1744382277,1744382806,1744382806.7018518,-18000,,
com.google.Chrome,39,1744382238,1744382277,1744382277.0792542,-18000,,
com.microsoft.VSCode,104,1744382134,1744382238,1744382238.871803,-18000,,
com.google.Chrome,0,1744382134,1744382134,1744382134.869904,-18000,,
com.microsoft.VSCode,57,1744382077,1744382134,1744382134.463933,-18000,,
com.google.Chrome,104,1744381973,1744382077,1744382078.045358,-18000,,
com.microsoft.VSCode,67,1744381906,1744381973,1744381973.41976,-18000,,
com.google.Chrome,21,1744381885,1744381906,1744381907.131767,-18000,,
com.microsoft.VSCode,2,1744381883,1744381885,1744381885.321451,-18000,,
com.google.Chrome,29,1744381854,1744381883,1744381884.02441,-18000,,
com.microsoft.VSCode,1,1744381853,1744381854,1744381855.4657211,-18000,,
com.google.Chrome,52,1744381801,1744381853,1744381853.872823,-18000,,
com.microsoft.VSCode,68,1744381733,1744381801,1744381801.881547,-18000,,
com.apple.MobileSMS,8,1744381725,1744381733,1744381733.55092,-18000,,
com.microsoft.VSCode,84,1744381641,1744381725,1744381725.445358,-18000,,
com.google.Chrome,4,1744381637,1744381641,1744381643.427125,-18000,,
com.microsoft.VSCode,189,1744381448,1744381637,1744381637.856425,-18000,,
com.google.Chrome,2,1744381446,1744381448,1744381448.64637,-18000,,
com.microsoft.VSCode,415,1744381031,1744381446,1744381446.54862,-18000,,
com.google.Chrome,6,1744381025,1744381031,1744381031.073535,-18000,,
com.microsoft.VSCode,45,1744380980,1744381025,1744381025.576395,-18000,,
com.google.Chrome,3,1744380977,1744380980,1744380980.673445,-18000,,
com.microsoft.VSCode,75,1744380902,1744380977,1744380977.927847,-18000,,
com.google.Chrome,67,1744380835,1744380902,1744380902.376864,-18000,,
com.microsoft.VSCode,274,1744380561,1744380835,1744380837.42234,-18000,,
com.google.Chrome,12,1744380549,1744380561,1744380561.715826,-18000,,
com.microsoft.VSCode,560,1744379989,1744380549,1744380549.970814,-18000,,
com.google.Chrome,6,1744379983,1744379989,1744379989.646765,-18000,,
com.microsoft.VSCode,23,1744379960,1744379983,1744379983.788525,-18000,,
com.google.Chrome,24,1744379936,1744379960,1744379960.5783138,-18000,,
com.microsoft.VSCode,12,1744379924,1744379936,1744379936.086697,-18000,,
com.google.Chrome,2,1744379922,1744379924,1744379924.312447,-18000,,
com.microsoft.VSCode,5,1744379917,1744379922,1744379922.885483,-18000,,
com.google.Chrome,0,1744379917,1744379917,1744379917.789287,-18000,,
com.microsoft.VSCode,3,1744379914,1744379917,1744379917.126975,-18000,,
com.google.Chrome,1,1744379913,1744379914,1744379914.354707,-18000,,
com.microsoft.VSCode,33,1744379880,1744379913,1744379913.187477,-18000,,
com.google.Chrome,11,1744379869,1744379880,1744379880.79599,-18000,,
com.microsoft.VSCode,18,1744379851,1744379869,1744379869.820838,-18000,,
com.google.Chrome,1,1744379850,1744379851,1744379851.1584148,-18000,,
com.microsoft.VSCode,139,1744379711,1744379850,1744379850.589507,-18000,,
com.google.Chrome,5,1744379706,1744379711,1744379711.1799579,-18000,,
com.microsoft.VSCode,1,1744379705,1744379706,1744379706.9695,-18000,,
com.google.Chrome,2,1744379703,1744379705,1744379706.000393,-18000,,
com.microsoft.VSCode,19,1744379684,1744379703,1744379703.848495,-18000,,
com.google.Chrome,12,1744379672,1744379684,1744379684.483855,-18000,,
com.microsoft.VSCode,17,1744379655,1744379672,1744379672.626162,-18000,,
com.google.Chrome,5,1744379650,1744379655,1744379655.1760669,-18000,,
