app,usage,start_time,end_time,created_at,tz,device_id,device_model
com.apple.finder,5,1715395021,1715395026,1715395026.95404,-18000,,
com.apple.Terminal,1,1715395020,1715395021,1715395021.812295,-18000,,
com.apple.finder,28,1715394992,1715395020,1715395020.180674,-18000,,
com.google.Chrome,92,1715394900,1715394992,1715394992.9979281,-18000,,
com.apple.finder,75,1715394825,1715394900,1715394900.8095798,-18000,,
com.apple.iCal,53,1715394772,1715394825,1715394825.887496,-18000,,
com.apple.finder,2,1715394770,1715394772,1715394772.499275,-18000,,
com.google.Chrome,29,1715394741,1715394770,1715394770.563583,-18000,,
com.google.Chrome,333,1715393632,1715393965,1715393965.4651752,-18000,,
com.google.Chrome,802,1715392815,1715393617,1715393618.2557812,-18000,,
com.google.Chrome,301,1715392213,1715392514,1715392514.833286,-18000,,
com.google.Chrome,725,1715391211,1715391936,1715391936.189227,-18000,,
com.microsoft.onenote.mac,24,1715391187,1715391211,1715391211.981248,-18000,,
com.google.Chrome,54,1715391133,1715391187,1715391187.238095,-18000,,
com.google.Chrome,258,1715389448,1715389706,1715389706.787935,-18000,,
com.google.Chrome,77,1715370085,1715370162,1715370162.972256,-18000,,
com.apple.finder,3,1715370052,1715370055,1715370055.0702229,-18000,,
com.apple.finder,112,1715369797,1715369909,1715369909.944662,-18000,,
com.google.Chrome,1794,1715368003,1715369797,1715369797.564292,-18000,,
com.google.Chrome,516,1715367380,1715367896,1715367896.2626638,-18000,,
com.apple.iCal,14,1715367366,1715367380,1715367380.148025,-18000,,
com.google.Chrome,1,1715367365,1715367366,1715367366.840656,-18000,,
com.apple.iCal,4,1715367361,1715367365,1715367365.124294,-18000,,
com.google.Chrome,58,1715367303,1715367361,1715367361.311156,-18000,,
com.google.Chrome,421,1715365402,1715365823,1715365823.120916,-18000,,
com.google.Chrome,497,1715364824,1715365321,1715365321.2863178,-18000,,
com.google.Chrome,9,1715349089,1715349098,1715349098.885865,-18000,,
com.apple.Preview,1,1715349088,1715349089,1715349089.45091,-18000,,
com.apple.Notes,53,1715349035,1715349088,1715349088.482662,-18000,,
com.apple.Preview,2,1715349033,1715349035,1715349035.2191548,-18000,,
com.google.Chrome,35,1715348998,1715349033,1715349033.9681911,-18000,,
com.apple.Preview,6,1715348992,1715348998,1715348998.2548351,-18000,,
